Original Title,types,variable_index,country,date,types_recode,continent,cultural distance,distance_to_ankara
Askin Tarifi,Fall–Rise,2,Philippines,"June 7, 2021",1,Asia,0.1298888,0.6621582412275726
Askin Tarifi,Fall–Rise,4,United Arab Emirates,"June 8, 2021",1,Asia,0.01,0.1912597721024848
Askin Tarifi,Fall–Rise,5,Indonesia,"June 8, 2021",1,Asia,0.0833755,0.6296538091518518
Aslan Ailem,Fall–Rise,3,United Arab Emirates,"October 23, 2017",1,Asia,0.01,0.1912597721024848
Atiye,Rise–Fall–Rise,1,United Arab Emirates,"December 27, 2019",0,Asia,0.01,0.1912597721024848
Atiye,Rise–Fall–Rise,2,Argentina,"December 27, 2019",0,South America,0.4332813,0.8508386475808689
Atiye,Rise–Fall–Rise,3,Australia,"December 27, 2019",0,Oceania,0.7100703,1.0
Atiye,Rise–Fall–Rise,6,Canada,"December 27, 2019",0,North America,0.5667968,0.7849206074012037
Atiye,Rise–Fall–Rise,7,Germany,"December 27, 2019",0,Europe,0.7842516,0.1673367793261102
Atiye,Rise–Fall–Rise,4,Brazil,"December 27, 2019",0,South America,0.3063638,0.7086143745052557
Atiye,Rise–Fall–Rise,10,Spain,"December 27, 2019",0,Europe,0.7732433,0.2640219694512341
Atiye,Rise–Fall–Rise,11,France,"December 27, 2019",0,Europe,0.6693177,0.2295492047563604
Atiye,Rise–Fall–Rise,12,United Kingdom,"December 27, 2019",0,Europe,0.6967751,0.2524422168955692
Atiye,Rise–Fall–Rise,13,Hong Kong,"December 27, 2019",0,Asia,0.6070375,0.6008196576520627
Atiye,Rise–Fall–Rise,14,Hungary,"December 27, 2019",0,Europe,0.5444989,0.1137859404272508
Atiye,Rise–Fall–Rise,15,Indonesia,"December 27, 2019",0,Asia,0.0833755,0.6296538091518518
Atiye,Rise–Fall–Rise,16,Israel,"December 27, 2019",0,Asia,0.01,0.0612838137293157
Atiye,Rise–Fall–Rise,17,India,"December 27, 2019",0,Asia,0.0793723,0.33051190066537
Atiye,Rise–Fall–Rise,18,Italy,"December 27, 2019",0,Europe,0.4192803,0.1478157140319547
Atiye,Rise–Fall–Rise,19,Japan,"December 27, 2019",0,Asia,0.6066421,0.7721366121005522
Atiye,Rise–Fall–Rise,20,South Korea,"December 27, 2019",0,Asia,0.7258395,0.6799317781731508
Atiye,Rise–Fall–Rise,21,Mexico,"December 27, 2019",0,North America,0.4145935,0.9646369383912728
Atiye,Rise–Fall–Rise,22,Netherlands,"December 27, 2019",0,Europe,0.8124272,0.2210696091685343
Atiye,Rise–Fall–Rise,8,Ecuador,"December 27, 2019",0,South America,0.1381429,0.8549951931784503
Atiye,Rise–Fall–Rise,9,Egypt,"December 27, 2019",0,Africa,0.3713828,0.0723007485139661
Atiye,Rise–Fall–Rise,23,Philippines,"December 27, 2019",0,Asia,0.1298888,0.6621582412275726
Atiye,Rise–Fall–Rise,24,Poland,"December 27, 2019",0,Europe,0.324006,0.1233551371653434
Atiye,Rise–Fall–Rise,25,Singapore,"December 27, 2019",0,Asia,0.230165,0.583682754347835
Atiye,Rise–Fall–Rise,28,Taiwan,"December 27, 2019",0,Asia,0.4713243,0.649589846721192
Atiye,Rise–Fall–Rise,29,United States,"December 27, 2019",0,North America,0.534117,0.7936160860974052
Atiye,Rise–Fall–Rise,30,South Africa,"December 27, 2019",0,Africa,0.3910609,0.5433682377844444
Atiye,Rise–Fall–Rise,31,Sweden,"June 17, 2021",0,Europe,1.0,0.1762383532841106
Aziz,Fall–Rise,1,Poland,"May 5, 2021",1,Europe,0.324006,0.1233551371653434
Aziz,Fall–Rise,2,France,"November 5, 2021",1,Europe,0.6693177,0.2295492047563604
Aziz,Fall–Rise,4,United Arab Emirates,"November 6, 2021",1,Asia,0.01,0.1912597721024848
Aziz,Fall–Rise,5,Indonesia,"November 6, 2021",1,Asia,0.0833755,0.6296538091518518
Babil,Fall–Rise,3,United Arab Emirates,"June 18, 2020",1,Asia,0.01,0.1912597721024848
Baht Oyunu,Fall–Rise–Fall,2,United Arab Emirates,"June 16, 2021",2,Asia,0.01,0.1912597721024848
Baht Oyunu,Fall–Rise–Fall,3,Ecuador,"June 16, 2021",2,South America,0.1381429,0.8549951931784503
Baht Oyunu,Fall–Rise–Fall,6,Philippines,"June 16, 2021",2,Asia,0.1298888,0.6621582412275726
Baht Oyunu,Fall–Rise–Fall,7,Singapore,"June 16, 2021",2,Asia,0.230165,0.583682754347835
Baht Oyunu,Fall–Rise–Fall,4,Israel,"June 16, 2021",2,Asia,0.01,0.0612838137293157
Baht Oyunu,Fall–Rise–Fall,5,India,"June 16, 2021",2,Asia,0.0793723,0.33051190066537
Baht Oyunu,Fall–Rise–Fall,8,Indonesia,"June 17, 2021",2,Asia,0.0833755,0.6296538091518518
Bana Sevmeyi Anlat,Fall–Rise,2,Tunisia,"April 24, 2020",1,Africa,0.1240503,0.1653694165552963
Bay Yanlis,Fall–Rise,2,Australia,"June 26, 2020",1,Oceania,0.7100703,1.0
Bay Yanlis,Fall–Rise,3,Italy,"June 26, 2020",1,Europe,0.4192803,0.1478157140319547
Bay Yanlis,Fall–Rise,6,Egypt,"June 27, 2020",1,Africa,0.3713828,0.0723007485139661
Bay Yanlis,Fall–Rise,7,Philippines,"June 27, 2020",1,Asia,0.1298888,0.6621582412275726
Bay Yanlis,Fall–Rise,10,United Arab Emirates,"July 14, 2021",1,Asia,0.01,0.1912597721024848
Bay Yanlis,Fall–Rise,12,Brazil,"June 19, 2023",1,South America,0.3063638,0.7086143745052557
Bay Yanlis,Fall–Rise,5,United States,"June 26, 2020",1,North America,0.534117,0.7936160860974052
Bay Yanlis,Fall–Rise,8,India,"March 22, 2021",1,Asia,0.0793723,0.33051190066537
Bay Yanlis,Fall–Rise,9,Indonesia,"June 30, 2021",1,Asia,0.0833755,0.6296538091518518
Benim Hala Umudum Var,Fall–Rise,2,Poland,"September 1, 2017",1,Europe,0.324006,0.1233551371653434
Benim Hala Umudum Var,Fall–Rise,3,United Arab Emirates,"June 7, 2023",1,Asia,0.01,0.1912597721024848
Benim Tatli Yalanim,Fall–Rise–Fall,2,United Arab Emirates,"June 14, 2019",2,Asia,0.01,0.1912597721024848
Benim Tatli Yalanim,Fall–Rise–Fall,3,Philippines,"June 14, 2019",2,Asia,0.1298888,0.6621582412275726
Benim Tatli Yalanim,Fall–Rise–Fall,4,Spain,"October 5, 2020",2,Europe,0.7732433,0.2640219694512341
Binbir Gece,Fall–Rise–Fall,2,Bulgaria,"December 8, 2008",2,Europe,0.3135629,0.0716856485326808
Binbir Gece,Fall–Rise–Fall,3,Serbia,"March 8, 2010",2,Europe,0.32449,0.0962187253711724
Binbir Gece,Fall–Rise–Fall,6,Bosnia and Herzegovina,"August 30, 2010",2,Europe,0.188779,0.1084733572133768
Binbir Gece,Fall–Rise–Fall,7,Slovenia,"September 30, 2010",2,Europe,0.6981235,0.1397113557206531
Binbir Gece,Fall–Rise–Fall,4,Greece,"June 7, 2010",2,Europe,0.2814158,0.067270471552006
Binbir Gece,Fall–Rise–Fall,11,Ukraine,"July 15, 2013",2,Europe,0.5116708,0.0778594822686999
Binbir Gece,Fall–Rise–Fall,12,Chile,"March 3, 2014",2,South America,0.5071435,0.9162254294559404
Binbir Gece,Fall–Rise–Fall,13,Israel,"November 5, 2014",2,Asia,0.01,0.0612838137293157
Binbir Gece,Fall–Rise–Fall,14,Argentina,"January 5, 2015",2,South America,0.4332813,0.8508386475808689
Binbir Gece,Fall–Rise–Fall,15,Peru,"February 9, 2015",2,South America,0.2758466,0.877777612811714
Binbir Gece,Fall–Rise–Fall,16,Brazil,"March 9, 2015",2,South America,0.3063638,0.7086143745052557
Binbir Gece,Fall–Rise–Fall,17,Russia,"May 23, 2015",2,,0.4483133,0.1194243774165101
Binbir Gece,Fall–Rise–Fall,18,Indonesia,"August 3, 2015",2,Asia,0.0833755,0.6296538091518518
Binbir Gece,Fall–Rise–Fall,19,Poland,"September 1, 2015",2,Europe,0.324006,0.1233551371653434
Binbir Gece,Fall–Rise–Fall,20,Kazakhstan,"May 16, 2016",2,Asia,0.2559081,0.2903128685434853
Binbir Gece,Fall–Rise–Fall,21,United Arab Emirates,"March 30, 2018",2,Asia,0.01,0.1912597721024848
Binbir Gece,Fall–Rise–Fall,22,Egypt,"March 30, 2018",2,Africa,0.3713828,0.0723007485139661
Binbir Gece,Fall–Rise–Fall,5,Croatia,"August 22, 2010",2,Europe,0.3995508,0.1290931496252333
Binbir Gece,Fall–Rise–Fall,8,Slovakia,"January 3, 2011",2,Europe,0.5612988,0.1283105325141142
Binbir Gece,Fall–Rise–Fall,9,Hungary,"April 14, 2011",2,Europe,0.5444989,0.1137859404272508
Binbir Gece,Fall–Rise–Fall,23,India,"March 30, 2018",2,Asia,0.0793723,0.33051190066537
Bir Baskadir,Rise–Fall–Rise,1,United Arab Emirates,"November 12, 2020",0,Asia,0.01,0.1912597721024848
Bir Baskadir,Rise–Fall–Rise,2,Argentina,"November 12, 2020",0,South America,0.4332813,0.8508386475808689
